,name,indices,number_of_questions,is_human,gender
124,Agatha Christie,"[164918, 231927, 267241, 319457, 3494, 4176, 6586, 10828, 12099, 13053, 18296, 25078, 32511, 41613, 44549, 46542, 49153, 50527, 51243, 51696, 52455, 55540, 56770, 65691, 67167, 70907, 71630, 74773, 87535, 88445, 94856, 96458, 97927, 111563, 121862, 125570, 127025, 128564, 135065, 135324, 141830, 143996, 154913, 158602, 161483, 164067, 174443, 180120, 181140, 190407, 191944, 193844, 198444, 207720, 208462, 211994, 213827, 214454, 220939, 222798, 228074, 236925, 242314, 244718, 249116, 252507, 259507, 261141, 280238, 287703, 291118, 304144, 325730, 329844, 333731, 348222]",76,True,female
125,Agatha Christie Brinkley,[91010],1,True,male
126,Ages\,"[45298, 105295]",2,False,
127,Agnew,"[181047, 196519, 253295, 275076, 313143, 317098]",6,True,male
128,Agony,"[208752, 128270, 305576, 308429, 67331]",5,False,
129,Agua Caliente,[22491],1,False,
130,Ahab,"[196654, 281748, 21090, 82757, 169223, 190298, 218985, 227364, 236470, 242909, 260927, 264233, 268690, 275001, 283714, 286491, 298374, 308130, 339244, 344713, 348649, 23429, 26189, 90345, 99987, 104886, 119153, 122417, 129084, 170797, 188217, 256191, 314675, 322391]",34,True,male
131,Ahmadinejad,"[226890, 229091, 260832, 292436, 305851]",5,True,male
132,Aid Kit Carson,[164345],1,False,
133,Aileen Wuornos,[164493],1,True,female
134,Aimee Semple McPherson,"[1679, 5356, 19899, 41890, 46983, 47341, 55011, 58098, 120352, 165089, 184664, 203263]",12,True,female
135,Air Bud,[123299],1,False,
136,Airman First Class,[138586],1,False,
137,Airsick,[83551],1,False,
138,Akhenaton,[62814],1,True,male
139,Akihito,"[11790, 35561, 50358, 50535, 55935, 61136, 73677, 83485, 85329, 101731, 135409, 155486, 166000, 174654, 214102, 262213, 298718, 336021, 338880, 60596, 248559, 117384]",22,True,male
140,Akira Kurosawa,"[9681, 269423, 297785, 18351, 52259, 62614, 63783, 79479, 82316, 87722, 97367, 111185, 119739]",13,True,male
141,Akron Ohio,"[152530, 976, 63254, 73168, 322513]",5,False,
142,Al,[127785],1,False,
143,Al Bundy,"[101411, 104829, 158297]",3,False,male
144,Al Campanis,[12359],1,True,male
145,Al Capone,"[39098, 323578, 327079, 330876, 3432, 8049, 19773, 41846, 45161, 46083, 47461, 52093, 74239, 78368, 85101, 88654, 91131, 94477, 102123, 125789, 138648, 140271, 148533, 155776, 158988, 163688, 191545, 210892, 215434, 232758, 248742, 260903, 269723, 295323, 297883, 303548, 320492, 347032]",38,True,male
146,Al Capone Scarface,[134702],1,True,male
147,Al Capp,"[184063, 11192, 28757, 39052, 60230, 91655, 146033]",7,True,male
148,Al Davis,"[126254, 168954]",2,True,male
